regionname,regiontype,regionlongitude,regionlatitude
805,zip3,-105.404718,40.584074
806,zip3,-104.482685,40.411834
807,zip3,-103.065361,40.376795
808,zip3,-103.537775,39.067755
809,zip3,-104.669105,38.774396
810,zip3,-103.587708,37.777064
811,zip3,-106.378431,37.592688
812,zip3,-106.404145,38.440548
813,zip3,-108.445063,37.495488
814,zip3,-107.994688,38.431801
815,zip3,-108.705846,38.916176
816,zip3,-107.857713,39.997117
820,zip3,-105.366937,41.510544
821,zip3,-110.526407,44.580829
822,zip3,-104.615929,42.486608
823,zip3,-107.389296,41.854602
824,zip3,-108.556792,44.257302
825,zip3,-108.988157,43.127436
826,zip3,-106.462565,43.149955
827,zip3,-105.034644,44.248292
828,zip3,-106.769195,44.600355
829,zip3,-109.603071,41.890791
830,zip3,-110.542183,43.717241
831,zip3,-110.556013,42.382906
832,zip3,-112.934063,43.349103
833,zip3,-114.150435,42.847060
834,zip3,-112.587602,44.321145
835,zip3,-115.635773,46.062420
836,zip3,-116.018094,43.609296
837,zip3,-116.068303,43.559794
838,zip3,-116.404227,47.730693
840,zip3,-111.510416,40.407832
841,zip3,-111.805640,40.703744
843,zip3,-112.855555,41.568186
844,zip3,-112.039849,41.254721
845,zip3,-110.049338,38.440178
846,zip3,-112.104828,39.332008
847,zip3,-112.413665,38.044404
